voice,mask,band,x,y,z,grade
Commander,M0,ell2,-0.3617136896556896,-0.5710239264429312,0.7369497148010611,A
NILC,M0,ell2,-0.24733383688535168,-0.47928725110591786,0.8420865181552921,A
SEVEM,M0,ell2,-0.3786330002557803,-0.19550958132247215,0.9046618455137908,A
SMICA,M0,ell2,-0.30778223936832844,-0.48588435505660854,0.8180381938764477,A
Commander,M0,ell3,-0.19541649946542394,-0.37868104918025935,0.9046618455137908,A
NILC,M0,ell3,-0.24870076447148826,-0.39261463168023625,0.8854386939488752,A
SEVEM,M0,ell3,-0.1463615808716959,-0.35794364849067034,0.9222009716704518,A
SMICA,M0,ell3,-0.24870076447148826,-0.39261463168023625,0.8854386939488752,A
Commander,M1,ell2,-0.1816241688669993,-0.845274676613998,0.5025170468337098,A
NILC,M1,ell2,-0.10365175129313292,-0.8356829653120671,0.5393424662875128,A
SEVEM,M1,ell2,-0.24877445733254056,-0.8045004496193915,0.5393424662875128,A
SMICA,M1,ell2,-0.17690151342709745,-0.8232955475442009,0.5393424662875128,A
Commander,M1,ell3,0.13089865107069867,-0.5600705817191535,0.8180381938764477,A
NILC,M1,ell3,0.12274623136558453,-0.5251891646127548,0.8420865181552921,A
SEVEM,M1,ell3,0.24093225046272443,-0.560310231769967,0.7924670938662709,A
SMICA,M1,ell3,0.08102730454991797,-0.569427861345697,0.8180381938764477,A
